100,lift,lift,lift,lift,108,Knowles Building HongKong University,100,202,垂直過渡,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,lift,,lift,center,12,20203,1,,,,114.138433374|22.283035429,114.138433374|22.283035429,0,9999050000000 ,114.1384679,22.28334292
101,lift,lift,lift,lift,108,Knowles Building HongKong University,101,202,垂直過渡,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,lift,,lift,center,12,20203,1,,,,114.138462163|22.283035824,114.138462163|22.283035824,0,9999050000000 ,114.1384391,22.28334253
102,lift,lift,lift,lift,108,Knowles Building HongKong University,102,202,垂直過渡,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,lift,,lift,center,12,20203,1,,,,114.138480366|22.283085436,114.138480366|22.283085436,0,9999050000000 ,114.1384209,22.28329291
103,lift,lift,lift,lift,108,Knowles Building HongKong University,103,202,垂直過渡,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,lift,,lift,center,12,20203,1,,,,114.138446816|22.283082937,114.138446816|22.283082937,0,9999050000000 ,114.1384545,22.28329541
104,lift,lift,lift,lift,108,Knowles Building HongKong University,104,202,垂直過渡,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,lift,,lift,center,12,20203,1,,,,114.138413265|22.283083294,114.138413265|22.283083294,0,9999050000000 ,114.138488,22.28329506
105,office,office,808,808,108,Knowles Building HongKong University,105,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,office,,808,center,12,10311,1,,,,114.138257368|22.282948848,114.138257368|22.282948848,0,9999050000000 ,114.1386575,22.28344878
106,office,office,809,809,108,Knowles Building HongKong University,106,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,office,,809,center,12,10311,1,,,,114.138289728|22.28292315,114.138289728|22.28292315,0,9999050000000 ,114.1386116,22.2834552
107,office,office,810,810,108,Knowles Building HongKong University,107,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,office,,810,center,12,10311,1,,,,114.138329862|22.282941869,114.138329862|22.282941869,0,9999050000000 ,114.1385743,22.28345647
108,office,office,811,811,108,Knowles Building HongKong University,108,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,office,,811,center,12,10311,1,,,,114.138356988|22.282943296,114.138356988|22.282943296,0,9999050000000 ,114.1385472,22.28345504
109,office,office,812,812,108,Knowles Building HongKong University,109,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,office,,812,center,12,10311,1,,,,114.138384114|22.282943772,114.138384114|22.282943772,0,9999050000000 ,114.13852,22.28345456
